source,origin_file,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
UNIFIED,,1.4,0.689090466304,0.656,0.01801528,2,1.050442784,unified
UNIFIED,,1.6,0.695932973568,0.658,0.01801528,2,1.057648896,unified
UNIFIED,,1.8,0.704934015296,0.662,0.01801528,2,1.064855008,unified
UNIFIED,,2,0.71613682816,0.668,0.01801528,2,1.07206112,unified
UNIFIED,,2.5,0.7499725632,0.688,0.01801528,2,1.0900764,unified
UNIFIED,,3,0.79117745952,0.714,0.01801528,2,1.10809168,unified
UNIFIED,,3.5,0.84007579216,0.746,0.01801528,2,1.12610696,unified
UNIFIED,,4,0.89584771392,0.783,0.01801528,2,1.14412224,unified
UNIFIED,,4.5,0.95992559152,0.826,0.01801528,2,1.16213752,unified
UNIFIED,,5,1.0314535472,0.874,0.01801528,2,1.1801528,unified
UNIFIED,,5.5,1.11189997824,0.928,0.01801528,2,1.19816808,unified
UNIFIED,,6,1.19915679296,0.986,0.01801528,2,1.21618336,unified
UNIFIED,,6.144,1.22625724768,1.004,0.01801528,2,1.22137176064,unified
