source,origin_file,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
UNIFIED,,2.5,1.2710290824,1.166,0.01801528,2,1.0900764,unified
UNIFIED,,3,1.50589659312,1.359,0.01801528,2,1.10809168,unified
UNIFIED,,3.5,1.79951892208,1.598,0.01801528,2,1.12610696,unified
UNIFIED,,4,2.16353515584,1.891,0.01801528,2,1.14412224,unified
UNIFIED,,4.5,2.61713369504,2.252,0.01801528,2,1.16213752,unified
UNIFIED,,5,3.1816919488,2.696,0.01801528,2,1.1801528,unified
UNIFIED,,5.5,3.88446091536,3.242,0.01801528,2,1.19816808,unified
UNIFIED,,6,4.7613578544,3.915,0.01801528,2,1.21618336,unified
UNIFIED,,7,7.23529202976,5.778,0.01801528,2,1.25221392,unified
UNIFIED,,8,11.1446029965,8.65100000001,0.01801528,2,1.28824448,unified
UNIFIED,,9,17.348003024,13.1,0.01801528,2,1.32427504,unified
UNIFIED,,10,27.219715056,20.01,0.01801528,2,1.3603056,unified
UNIFIED,,11,42.7697765808,30.63,0.01801528,2,1.39633616,unified
UNIFIED,,12,66.8342311552,46.66,0.01801528,2,1.43236672,unified
UNIFIED,,13,103.022753165,70.1600000001,0.01801528,2,1.46839728,unified
UNIFIED,,14,155.106510304,103.1,0.01801528,2,1.50442784,unified
UNIFIED,,15,226.4473848,147,0.01801528,2,1.5404584,unified
UNIFIED,,16,316.87428096,201,0.01801528,2,1.57648896,unified
UNIFIED,,17,425.70515328,264,0.01801528,2,1.61251952,unified
UNIFIED,,18,547.31862656,332,0.01801528,2,1.64855008,unified
UNIFIED,,19,680.57057856,404,0.01801528,2,1.68458064,unified
UNIFIED,,20,836.2170432,486,0.01801528,2,1.7206112,unified
