panel,salt,solvent,base_solvent_dielc,trial_solvent_dielc,delta_eps,rmse,mae,bias,max_abs
7d,NaBr,methanol,33.05,33.75,0.7000000000000028,0.052882199564823,0.04634135181610415,-0.04607963971735902,0.09688856472683388
7d,NaBr,methanol,33.05,34.0,0.9500000000000028,0.04923357985775307,0.04266669831688547,-0.042121960234115935,0.0920013188037514
7d,NaBr,methanol,33.05,34.25,1.2000000000000028,0.04566087651853181,0.03901548058232567,-0.03819178254600507,0.08713380694330913
7d,NaBr,methanol,33.05,34.5,1.4500000000000028,0.04217609594315558,0.035387774681472556,-0.03428910576853096,0.0822865044155095
7d,NaBr,methanol,33.05,34.75,1.7000000000000028,0.03879504377349617,0.03197256752470309,-0.030413917956337227,0.07745986042255593
7d,NaBr,methanol,33.05,35.0,1.9500000000000028,0.03553875959691758,0.02876157119032093,-0.02656619665264828,0.07265429899043113
7d,NaBr,methanol,33.05,35.25,2.200000000000003,0.032435493601107084,0.025592571177672566,-0.022745909426456205,0.06787021984019087
7d,NaBr,methanol,33.05,35.5,2.450000000000003,0.029523326492127973,0.02299222251780158,-0.018953014377243078,0.06310799926559907
7d,NaBr,methanol,33.05,35.75,2.700000000000003,0.026853347253779282,0.020612845858351856,-0.015187460629187306,0.05836799094735551
7d,NaBr,methanol,33.05,36.0,2.950000000000003,0.024492739194169232,0.01843410860379355,-0.011449188794831465,0.053650526776395646
7d,NaBr,methanol,33.05,36.25,3.200000000000003,0.022525860203754945,0.01726901299517552,-0.007738131431708446,0.04895591763225943
7d,NaBr,methanol,33.05,36.5,3.450000000000003,0.02104944769250878,0.016787180885006404,-0.004054213469467823,0.04428445415294385
7d,NaBr,methanol,33.05,36.75,3.700000000000003,0.020157156960419968,0.017062941163812847,-0.00039735262751437587,0.03963640749167091
7d,NaBr,methanol,33.05,37.0,3.950000000000003,0.01991324484649508,0.017477240477812926,0.003232540187717801,0.035012030019854534
7d,NaBr,methanol,33.05,37.25,4.200000000000003,0.020327122864932223,0.018154081635129108,0.006835560507475848,0.034923899435661654
7d,NaBr,methanol,33.05,37.5,4.450000000000003,0.021347471153187893,0.019065398104523804,0.010411809926238361,0.03701654910660446
7d,NaBr,methanol,33.05,37.75,4.700000000000003,0.022881239813285752,0.020269300402473392,0.013961395763405157,0.039228321492681295
7d,NaBr,methanol,33.05,38.0,4.950000000000003,0.02482245375596197,0.02145903978749024,0.017484430717928125,0.042133570732404535
7d,NaBr,methanol,33.05,38.25,5.200000000000003,0.02707365497355994,0.022982257952526626,0.020981032556982828,0.04500676032498374
7d,NaBr,methanol,33.05,38.5,5.450000000000003,0.029555078223436237,0.0254448320215878,0.02445132380264005,0.04784832115092097
7d,NaBr,methanol,33.05,38.75,5.700000000000003,0.032205378061803035,0.028264508805932873,0.02789543144122185,0.05065867856852668
7d,NaBr,methanol,33.05,39.0,5.950000000000003,0.03497875802038318,0.03131348664415713,0.03131348664415713,0.0534382524062853
7d,NaBr,methanol,33.05,39.25,6.200000000000003,0.03784138764987832,0.03470562449226928,0.03470562449226928,0.05618745695666871
7d,NaBr,methanol,33.05,39.5,6.450000000000003,0.040768264058935154,0.03807198372504791,0.03807198372504791,0.05890670102254181
7d,NaBr,methanol,33.05,39.75,6.700000000000003,0.04374078801383711,0.04141270649634643,0.04141270649634643,0.06159638791777666
7d,NaBr,methanol,33.05,40.0,6.950000000000003,0.04674499108119801,0.04472793812888301,0.04472793812888301,0.06425691552025237
