panel,salt,solvent,requested_pair,runtime_pair,k_value,rmse,mae,bias,max_abs,rmse_full,mae_full,bias_full,max_abs_full,delta_k_from_baseline
7a,LiBr,ethanol,Li-Br,Li-Br,0.6,0.8704570982729942,0.470537736029509,-0.46917748600100156,2.594689852316404,3.504616125260344,1.4543853492544947,-1.453148758319488,11.292861481504351,0.009000000000000008
7a,LiBr,ethanol,Li-Br,Li-Br,0.62,0.8685033962808508,0.46932443074070196,-0.4679641807122059,2.5892384999487303,3.500799409397444,1.4522347269720683,-1.4509981360370718,11.281337689285731,0.029000000000000026
7a,LiBr,ethanol,Li-Br,Li-Br,0.64,0.8665379205405062,0.4681056461841366,-0.46674539615565197,2.583750926656247,3.4969505285814857,1.450069879335907,-1.4488332884009212,11.269712210853612,0.049000000000000044
7a,LiBr,ethanol,Li-Br,Li-Br,0.6599999999999999,0.8645606305209758,0.46688136939545755,-0.46552111936698426,2.5782269952449144,3.493069297002507,1.447890738483535,-1.446654147548559,11.257984429364308,0.06899999999999995
7a,LiBr,ethanol,Li-Br,Li-Br,0.6799999999999999,0.8625714858861782,0.46565158751947183,-0.46429133749100987,2.572666569057313,3.4891555288867027,1.4456972366375744,-1.444460645702609,11.2461537278186,0.08899999999999997
7a,LiBr,ethanol,Li-Br,Li-Br,0.7,0.8605704465217917,0.4644162878153727,-0.4630560377869221,2.5670695120626807,3.4852090385206087,1.4434893061160055,-1.4422527151810505,11.234219489122333,0.10899999999999999
7a,LiBr,ethanol,Li-Br,Li-Br,0.72,0.8585574725139566,0.4631754576545647,-0.4618152076261312,2.561435688785915,3.4812296402603917,1.4412668793344308,-1.4400302883994913,11.222181096133092,0.129
7a,LiBr,ethanol,Li-Br,Li-Br,0.74,0.8565325241732481,0.46192908452739034,-0.4605688344989682,2.555764964380175,3.4772171485442764,1.4390298888142503,-1.437793297879321,11.21003793168285,0.14900000000000002
7a,LiBr,ethanol,Li-Br,Li-Br,0.76,0.8544955620384136,0.46067715604184317,-0.45931690601342956,2.5500572046439753,3.4731713779367186,1.4367782671948064,-1.435541676259885,11.197789378724439,0.16900000000000004
7a,LiBr,ethanol,Li-Br,Li-Br,0.78,0.8524465468699477,0.45941965992591544,-0.4580594098975103,2.5443122759939327,3.4690921431125052,1.4345119472309007,-1.4332753562959868,11.185434820280753,0.18900000000000006
7a,LiBr,ethanol,Li-Br,Li-Br,0.8,0.8503854396632757,0.4581565840293077,-0.45679633400091396,2.5385300455085855,3.4649792588969346,1.43223086180576,-1.4309942708708567,11.172973639570284,0.20900000000000007
7a,LiBr,ethanol,Li-Br,Li-Br,0.8200000000000001,0.8483122016497366,0.45688791632473846,-0.45552766629635605,2.532710380930102,3.460832540292098,1.4299349439401732,-1.42869835300528,11.16040522009452,0.2290000000000001
7a,LiBr,ethanol,Li-Br,Li-Br,0.8400000000000001,0.8462267943085813,0.4556136449108898,-0.4542533948825188,2.5268531507044836,3.4566518024616535,1.4276241267894734,-1.4263875358545908,11.14772894557531,0.2490000000000001
7a,LiBr,ethanol,Li-Br,Li-Br,0.8600000000000001,0.8441291793630594,0.4543337580125872,-0.45297350798422753,2.5209582239633983,3.452436860782557,1.4252983436598738,-1.4240617527250015,11.134944200132741,0.26900000000000013
7a,LiBr,ethanol,Li-Br,Li-Br,0.8799999999999999,0.8420193187926722,0.4530482439859396,-0.45168799395759135,2.515025470564798,3.4481875308496046,1.4229575280135534,-1.4217209370786914,11.122050368289692,0.2889999999999999
7a,LiBr,ethanol,Li-Br,Li-Br,0.8999999999999999,0.8398971748352354,0.4517570913162867,-0.4503968412879556,2.5090547610975946,3.4439036284986653,1.4206016134737025,-1.419365022538856,11.109046835047861,0.30899999999999994
7a,LiBr,ethanol,Li-Br,Li-Br,0.9199999999999999,0.8377627099880299,0.4504602886216282,-0.44910003859330844,2.5030459668836356,3.439584969831369,1.418230533835061,-1.416993942900225,11.09593298596939,0.32899999999999996
7a,LiBr,ethanol,Li-Br,Li-Br,0.94,0.835615887012761,0.44915782465114146,-0.447797574622833,2.496998959994548,3.4352313712137974,1.4158442230616646,-1.4146076321268386,11.082708207166895,0.349
7a,LiBr,ethanol,Li-Br,Li-Br,0.96,0.8334566689577516,0.44784968829655136,-0.4464894382682544,2.490913613320857,3.430842649329876,1.4134426153120487,-1.4122060243772332,11.069371885467023,0.369
7a,LiBr,ethanol,Li-Br,Li-Br,0.98,0.8312850191402782,0.44653586858233413,-0.44517561855404564,2.4847898005127833,3.4264186211674916,1.4110256449270884,-1.4097890539922808,11.055923408374632,0.389
7a,LiBr,ethanol,Li-Br,Li-Br,1.0,0.8291009011640572,0.44521635467579374,-0.44385610464751374,2.478627396035182,3.4219591040694635,1.4085932464535886,-1.4073566555187886,11.042362164231537,0.40900000000000003
7a,LiBr,ethanol,Li-Br,Li-Br,1.02,0.8269042789193177,0.44389113588222917,-0.4425308858539605,2.4724262751702666,3.4174639157251803,1.4061453546371219,-1.404908763702332,11.028687542186049,0.42900000000000005
7a,LiBr,ethanol,Li-Br,Li-Br,1.04,0.8246951165897959,0.4425602016514148,-0.44119995162315756,2.4661863140334717,3.412932874219529,1.4036819044424278,-1.4024453135076485,11.014898932352558,0.44900000000000007
7a,LiBr,ethanol,Li-Br,Li-Br,1.06,0.8224733786712434,0.44122354158567284,-0.43986329155742687,2.45990738962824,3.408365798033609,1.4012028310595346,-1.3999662401247654,11.00099572579815,0.4690000000000001
7a,LiBr,ethanol,Li-Br,Li-Br,1.08,0.8202390299448721,0.43988114542118184,-0.43852089539294725,2.4535893797772528,3.403762506074307,1.3987080698975505,-1.3974714789627918,10.986977314661237,0.4890000000000001
7a,LiBr,ethanol,Li-Br,Li-Br,1.1,0.817992035513917,0.4385330030527646,-0.4371727530245414,2.447232163212278,3.399122817697117,1.396197556611595,-1.3949609656768465,10.972843092199899,0.5090000000000001
