panel,salt,solvent,requested_pair,runtime_pair,k_value,rmse,mae,bias,max_abs,rmse_full,mae_full,bias_full,max_abs_full,delta_k_from_baseline
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.06,0.07008922924963362,0.044425198569622834,-0.04092315909214146,0.17810831854798603,0.07008922924963362,0.044425198569622834,-0.04092315909214146,0.17810831854798603,-0.06
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.03999999999999998,0.07319334790288054,0.046713724519313014,-0.0432669929362426,0.18503094165888767,0.07319334790288054,0.046713724519313014,-0.0432669929362426,0.18503094165888767,-0.03999999999999998
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,-0.020000000000000018,0.0763233183195581,0.04901969670850574,-0.0456293301128921,0.1919823721978723,0.0763233183195581,0.04901969670850574,-0.0456293301128921,0.1919823721978723,-0.020000000000000018
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.0,0.07947814022429085,0.05134292471888639,-0.04800998367664217,0.19896187370289098,0.07947814022429085,0.05134292471888639,-0.04800998367664217,0.19896187370289098,0.0
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.020000000000000018,0.08265689655178382,0.05368320815840981,-0.050408756644751244,0.20596867917023332,0.08265689655178382,0.05368320815840981,-0.050408756644751244,0.20596867917023332,0.020000000000000018
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.040000000000000036,0.08585873739948519,0.05604033664009314,-0.05282544196613254,0.21300199098679962,0.08585873739948519,0.05604033664009314,-0.05282544196613254,0.21300199098679962,0.040000000000000036
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.06000000000000005,0.08908286701020765,0.058414089733983605,-0.05525982248471509,0.22006098099389493,0.08908286701020765,0.058414089733983605,-0.05525982248471509,0.22006098099389493,0.06000000000000005
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.07999999999999996,0.09232853314992814,0.06080423695512025,-0.057711670913134366,0.2271447904884164,0.09232853314992814,0.06080423695512025,-0.057711670913134366,0.2271447904884164,0.07999999999999996
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.09999999999999998,0.09559501839936756,0.06321053773785769,-0.060180749812550734,0.23425253030216509,0.09559501839936756,0.06321053773785769,-0.060180749812550734,0.23425253030216509,0.09999999999999998
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.12,0.09888163296096548,0.06563274142160949,-0.06266681158089242,0.241383280870346,0.09888163296096548,0.06563274142160949,-0.06266681158089242,0.241383280870346,0.12
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.14,0.10218770871256207,0.06807058725017333,-0.06516959844770831,0.24853609236104668,0.10218770871256207,0.06807058725017333,-0.06516959844770831,0.24853609236104668,0.14
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.16000000000000003,0.10551259424552543,0.07052380436927957,-0.0676888424651158,0.25570998480221485,0.10551259424552543,0.07052380436927957,-0.0676888424651158,0.25570998480221485,0.16000000000000003
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.18000000000000005,0.10885565074333105,0.07299211184601286,-0.07022426553839275,0.26290394827935426,0.10885565074333105,0.07299211184601286,-0.07022426553839275,0.26290394827935426,0.18000000000000005
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.20000000000000007,0.1122162484988193,0.07547521867608896,-0.07277557942155737,0.27011694311396595,0.1122162484988193,0.07547521867608896,-0.07277557942155737,0.27011694311396595,0.20000000000000007
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.21999999999999997,0.11559376401408908,0.07797282381762526,-0.07534248575337099,0.2773479001040903,0.11559376401408908,0.07797282381762526,-0.07534248575337099,0.2773479001040903,0.21999999999999997
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.24,0.11898757753771728,0.08048461621398934,-0.07792467608794522,0.28459572077550555,0.11898757753771728,0.08048461621398934,-0.07792467608794522,0.28459572077550555,0.24
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.26,0.12239707102049532,0.083010274858086,-0.08052183194394048,0.2918592777208414,0.12239707102049532,0.083010274858086,-0.08052183194394048,0.2918592777208414,0.26
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.28,0.1258216263394355,0.08554946881359854,-0.08313362483049908,0.2991374148511007,0.1258216263394355,0.08554946881359854,-0.08313362483049908,0.2991374148511007,0.28
7c,LiCl,methanol,Li-H2O (requested),Li-Methanol,0.3,0.12926062386209697,0.08810185730090786,-0.0857597163369011,0.30642894782899044,0.12926062386209697,0.08810185730090786,-0.0857597163369011,0.30642894782899044,0.3
