panel,salt,solvent,base_solvent_dielc,trial_solvent_dielc,delta_eps,rmse,mae,bias,max_abs
7b,NaBr,ethanol,24.88,22.5,-2.379999999999999,0.05088887325478951,0.04973612038309892,-0.04973612038309892,0.06011303943271584
7b,NaBr,ethanol,24.88,22.75,-2.129999999999999,0.04555606052090874,0.04427661686400852,-0.04427661686400852,0.05454068319121552
7b,NaBr,ethanol,24.88,23.0,-1.879999999999999,0.040295679573851086,0.03886227690114455,-0.03886227690114455,0.049108186428860834
7b,NaBr,ethanol,24.88,23.25,-1.629999999999999,0.03512024498779641,0.03349353742901971,-0.03349353742901971,0.04370766150548944
7b,NaBr,ethanol,24.88,23.5,-1.379999999999999,0.03005012042614351,0.02817077385279277,-0.02817077385279277,0.03834205951864911
7b,NaBr,ethanol,24.88,23.75,-1.129999999999999,0.025120866889935613,0.02289430368428301,-0.02289430368428301,0.033150041697140975
7b,NaBr,ethanol,24.88,24.0,-0.879999999999999,0.020399930219917827,0.017872830808572198,-0.01766439001520987,0.027975964128990588
7b,NaBr,ethanol,24.88,24.25,-0.629999999999999,0.016027791794994913,0.01345382635265472,-0.012481244821353127,0.022821155174929664
7b,NaBr,ethanol,24.88,24.5,-0.379999999999999,0.012322499368096674,0.010428553843241584,-0.007345032105868659,0.017752112561765176
7b,NaBr,ethanol,24.88,24.75,-0.129999999999999,0.00998061403469956,0.009082839412631256,-0.002255870886901715,0.015374562776193534
7b,NaBr,ethanol,24.88,25.0,0.120000000000001,0.009939756424804951,0.008964844216156176,0.0027861619586807183,0.01971748953870034
7b,NaBr,ethanol,24.88,25.25,0.370000000000001,0.012166167709524866,0.00930031840242829,0.007781029004377287,0.023984903312259553
7b,NaBr,ethanol,24.88,25.5,0.620000000000001,0.015680849737568853,0.01272872971042393,0.01272872971042393,0.02817842448484098
7b,NaBr,ethanol,24.88,25.75,0.870000000000001,0.019775204483483813,0.017629298001079208,0.017629298001079208,0.03229963826650706
7b,NaBr,ethanol,24.88,26.0,1.120000000000001,0.02412840036488078,0.022482799961631463,0.022482799961631463,0.03635009505439535
7b,NaBr,ethanol,24.88,26.25,1.370000000000001,0.02859936537689263,0.027289331663521495,0.027289331663521495,0.04033131083119157
7b,NaBr,ethanol,24.88,26.5,1.620000000000001,0.033120689620690584,0.03204901709610144,0.03204901709610144,0.0442447676218215
7b,NaBr,ethanol,24.88,26.75,1.870000000000001,0.037657096401504844,0.03676200622005684,0.03676200622005684,0.04809191395491397
7b,NaBr,ethanol,24.88,27.0,2.120000000000001,0.042188645202895524,0.04142847311744924,0.04142847311744924,0.051874165398683614
7b,NaBr,ethanol,24.88,27.25,2.370000000000001,0.04670334660090154,0.04604861424569145,0.04604861424569145,0.05638460749286389
7b,NaBr,ethanol,24.88,27.5,2.620000000000001,0.05119363346506986,0.05062264678923932,0.05062264678923932,0.06096128489875896
7b,NaBr,ethanol,24.88,27.75,2.870000000000001,0.05565454714421532,0.05515080710040024,0.05515080710040024,0.06547889148362718
7b,NaBr,ethanol,24.88,28.0,3.120000000000001,0.06008274541561417,0.05963334922593541,0.05963334922593541,0.06993819175731764
7b,NaBr,ethanol,24.88,28.25,3.370000000000001,0.06447593052532748,0.06407054352093561,0.06407054352093561,0.07433995086393397
7b,NaBr,ethanol,24.88,28.5,3.620000000000001,0.0688325042457884,0.06846267533612949,0.06846267533612949,0.07868493357650574
7b,NaBr,ethanol,24.88,28.75,3.870000000000001,0.07315135162800679,0.0728100437831017,0.0728100437831017,0.08297390340333843
7b,NaBr,ethanol,24.88,29.0,4.120000000000001,0.07743170078482767,0.07711296057134664,0.07711296057134664,0.08720762173015928
7b,NaBr,ethanol,24.88,29.25,4.370000000000001,0.0816730292352186,0.08137174890629671,0.08137174890629671,0.09141791687966194
7b,NaBr,ethanol,24.88,29.5,4.620000000000001,0.08587499969567113,0.08558674246161914,0.08558674246161914,0.09566854226030508
7b,NaBr,ethanol,24.88,29.75,4.870000000000001,0.09003741500064366,0.0897582844027045,0.0897582844027045,0.09986768131598378
7b,NaBr,ethanol,24.88,30.0,5.120000000000001,0.09416018578164509,0.09388672647093771,0.09388672647093771,0.10401596700511262
7b,NaBr,ethanol,24.88,30.25,5.370000000000001,0.09824330684633417,0.09797242812610948,0.09797242812610948,0.10811403211936976
7b,NaBr,ethanol,24.88,30.5,5.620000000000001,0.10228683959629399,0.10201575573126306,0.10201575573126306,0.11216250860144261
7b,NaBr,ethanol,24.88,30.75,5.870000000000001,0.10629089874597059,0.1060170818016135,0.1060170818016135,0.11616202694349154
7b,NaBr,ethanol,24.88,31.0,6.120000000000001,0.11025564210937698,0.10997678427857656,0.10997678427857656,0.12011321559976851
7b,NaBr,ethanol,24.88,31.25,6.370000000000001,0.11418126266791619,0.11389524586910861,0.11389524586910861,0.1241971982557753
7b,NaBr,ethanol,24.88,31.5,6.620000000000001,0.11806798230170268,0.11777285341069595,0.11777285341069595,0.1283011932851053
7b,NaBr,ethanol,24.88,31.75,6.870000000000001,0.12191604679380239,0.12160999728612643,0.12160999728612643,0.13236238098907271
7b,NaBr,ethanol,24.88,32.0,7.120000000000001,0.1257257217878825,0.12540707086537348,0.12540707086537348,0.13638115111416077
