figure,group,subgroup,item,paper,model,delta
figure_4,revised,ethanol,Na+,-0.338028169,-0.269321640718287,0.06870652828171298
figure_4,revised,ethanol,K+,-9.690140845,-9.686945906874845,0.0031949381251550335
figure_4,revised,ethanol,F-,0.676056338,0.6893342105600926,0.013277872560092607
figure_4,revised,ethanol,Cl-,4.056338028,4.141888973332598,0.08555094533259844
figure_4,revised,ethanol,Br-,5.690140845,5.722819355792849,0.03267851079284867
figure_4,revised,ethanol,I-,7.211267606,7.235461461236957,0.024193855236957162
figure_5,hc,methanol,Na+,-12.27906977,56.043487445871804,68.3225572158718
figure_5,hc,methanol,Cl-,-11.62790698,56.68417199624058,68.31207897624058
figure_5,hc,methanol,I-,-18.87804878,45.944588697681624,64.82263747768162
figure_5,disp,methanol,Na+,12.09302326,-42.360731531911455,-54.45375479191146
figure_5,disp,methanol,Cl-,16.09302326,-38.4492652624662,-54.542288522466194
figure_5,disp,methanol,I-,23.12195122,-26.688049328246663,-49.81000054824666
figure_5,assoc,methanol,Na+,3.162790698,-13.198685432092404,-16.361476130092402
figure_5,assoc,methanol,Cl-,2.976744186,-13.316559371268177,-16.293303557268178
figure_5,assoc,methanol,I-,4.682926829,-11.25419890328073,-15.93712573228073
figure_5,dh,methanol,Na+,0.0,-2.1980638873058893e-05,-2.1980638873058893e-05
figure_5,dh,methanol,Cl-,0.0,-2.198064122756318e-05,-2.198064122756318e-05
figure_5,dh,methanol,I-,0.0,-2.1980609287765802e-05,-2.1980609287765802e-05
figure_5,born,methanol,Na+,15.34883721,9.7593396823911,-5.5894975276088985
figure_5,born,methanol,Cl-,15.72093023,9.997303262455262,-5.723626967544739
figure_5,born,methanol,I-,10.09756098,7.5132438348948085,-2.5843171451051923
figure_5,hc,ethanol,Na+,-11.78571429,6.822962293328914,18.608676583328915
figure_5,hc,ethanol,Cl-,-11.07142857,7.448448367482513,18.519876937482515
figure_5,hc,ethanol,I-,-21.95530726,-3.061736747900653,18.89357051209935
figure_5,disp,ethanol,Na+,14.375,8.005768401846609,-6.369231598153391
figure_5,disp,ethanol,Cl-,18.21428571,12.0573978347566,-6.156887875243399
figure_5,disp,ethanol,I-,29.83240223,23.15334503123806,-6.679057198761939
figure_5,assoc,ethanol,Na+,2.678571429,-15.22011635185433,-17.89868778085433
figure_5,assoc,ethanol,Cl-,2.589285714,-15.363918602491417,-17.953204316491416
figure_5,assoc,ethanol,I-,4.525139665,-12.856099727013806,-17.381239392013807
figure_5,dh,ethanol,Na+,0.0,-3.200596809885777e-05,-3.200596809885777e-05
figure_5,dh,ethanol,Cl-,0.0,-3.2005971283204936e-05,-3.2005971283204936e-05
figure_5,dh,ethanol,I-,0.0,-3.200592811971672e-05,-3.200592811971672e-05
figure_5,born,ethanol,Na+,9.910714286,15.315684068362202,5.404969782362203
figure_5,born,ethanol,Cl-,10.17857143,15.689128904862173,5.510557474862173
figure_5,born,ethanol,I-,7.541899441,11.790804772523927,4.248905331523927
